X,Y,OBJECTID,REF_NUM,DATE_REV,EVENT_DATE,TRUE_SINK,LONGDD,LATDD,COUNTY,TWNSHP,TWNSHP_D,RANGE,RANGE_D,SECTION,QTRSECT1,QTRSECT2,ACCURACY,RPT_SOURCE,RPT_NAME,OCITY,OZIP,SIZDIM,SINSHAPE,SINLNGTH,SINWIDTH,SINDEPTH,SLOPE,WATSIN,WATBLS,LIMVIS,CAVVIS,SUBRATE,PROPDAM,REPAIR_S,DRAINSTR,SOILTYPE,COMMENTS,COMMENTS_2,ACCESS_
-81.6141514286105,28.879057689226,1,11-536,2016/04/25 00:00:00+00,1989/06/30 00:00:00+00,U,-81.6142,28.879,LAKE,18,S,27,E,33,NW,SE,GPSSA,,,EUSTIS,,E,C,350,350,100,75,Y,20,N,N,R,N,Not Repaired,Unknown,RED CLAYEY SAND,"THIS IS A REACTIVATION OF AN ANCIENT, WATERFILLED SINKHOLE.. THE ORIGINAL SINKHOLE WAS APPOX. HALF THE SIZE.. WATER DRAINED WHEN SINK FIRST OCCURED, THEN SLOWLY FILLED AGAIN. TO PRESENT LEVEL. NUMEROUS PICTURES AVAILABLE.. . . .",,"3/10 OF A MILE NORTH OF SR44A, THRILL HILL ROAD(500' OFF RD.). ."
-81.5000000004893,28.5666666697242,2,75-604,2016/03/15 00:00:00+00,1982/03/26 00:00:00+00,U,-81.49999686,28.56666132,ORANGE,22,S,28,E,15,,,UNKWN,,,,,E,C,50,50,40,,N,,N,N,U,N,Repaired,Unknown,SAND,"DEVELOPER FAILED TO STBILIZE; LOT ABANDONED.  IN OCTOBER 1990. HOUSE NEXT DOOR STARTED TO CRACK. MICHAEL SIMMS AND ASSOC. ENG.. FIRM GROUTED THE SINK ON 10/29/90.  THIS REACTIVATED THIS SINK.. 30' DIA.X 1.5' DEEP WITH AREA 15'DIAX 4.5' AREA INSIDE. CRACK",Cannot locate a paper report ,. .
-82.7150000003565,28.2183333296009,3,14-523,2016/02/24 00:00:00+00,1986/01/10 00:00:00+00,U,-82.71499652,28.2183281,PASCO,26,S,16,E,16,SW,SW,QTR1,FSRI,,,,U,U,,,,90,Y,,U,N,R,N,Planned,Unknown,SANDY LOAM,"6 HOLES OPENED UP IN RETENTION POND.  HEAVY RAINFALL OF. 2.5 INCHES, SEE 14-522-14-527. . . . . .",Cannot identify exact location of sinkhole based on the site map and handwriting.,"CEDAR POINTE CONDOMINIUM PHASE II, 17 FT E OFF  ADISON ST. MADISON ST. PORT RICHEY, FL"
-81.2271000003094,28.8837999999498,4,79-547,2015/11/29 00:00:00+00,2008/10/09 00:00:00+00,U,-81.22709692,28.88379457,VOLUSIA,18,S,31,E,33,SE,NW,GPSSA,,,DELTONA,32725,U,U,,,,,U,,U,U,U,Y,Repaired,Unknown,UNKNOWN,"#SWP081009-8347.  SINKHOLE ON RESIDENTIAL PROPERTY THAT SWALLOWED A VEHICLE.  LOCATED IN RESIDENT'S DRIVEWAY AND PART OF THE ROAD IN FRONT OF HOUSE.  BARRICADES INSTALLED, NO INJURIES OR STRUCTURES IN DANGER.  UPDATE 10/13/2008:  WRECKER PULLED OUT THE C",,
-82.2444444395231,28.0258333297733,5,10-513,2016/03/24 00:00:00+00,1977/01/20 00:00:00+00,U,-82.2444411,28.02582813,HILLSBOROUGH,28,S,21,E,19,SW,SE,SECTION,Florida Sinkhole Research Institute,,,,U,U,,,,,U,,U,U,R,U,Unknown,Unknown,UNKNOWN,SEE 1985 FREEZE PROTECTION REPORTS FOR MORE UPDATED. INFORMATION 10-513 TO 10-534. END. . . . .,Unable to verify exact location.,. .
-81.5361111104223,28.494444440158,6,75-569,2016/03/14 00:00:00+00,1964/05/03 00:00:00+00,U,-81.53610796,28.49443911,ORANGE,23,S,28,E,8,SW,,SECTION,FSRI,,,,E,C,15,15,6,,U,,U,U,U,U,Unknown,Unknown,UNKNOWN,Possible reactivation of 75-567 (same reported lat/long),Did not move.  Not enough information. ,. WINDERMERE.
-82.7369334898779,28.211142689251,7,14-614,2016/03/02 00:00:00+00,1988/09/12 00:00:00+00,U,-82.73693,28.21113746,PASCO,26,S,16,E,19,SW,NE,QTR3,FSRI,,NEW PORT RICHEY,,E,C,1.5,1.5,3,90,N,,N,N,R,N,Repaired,Unknown,SAND,"NEAR 600,601,570. . . . . . .","Address cannot be found. Currently plotted on Connon Dr. Moved on to Cantrell St. within the Beacon Hills subdivision, based on the handdrawn map.","50 CONCORD AVE. NEW PORT RICHEY, FL. ."
-84.2847584798093,30.376751848792,8,55-760,1970/01/01 00:00:00+00,2019/01/28 00:00:00+00,Y,-84.284755,30.376746,LEON,1,S,1,W,,SW,SE,UNKWN,Leon County EM,,Tallahassee,,E,C,50,50,30,60,U,,U,U,U,Y,Unknown,Unknown,,location in SWP report are incorrect.  Site visit confirms location in map,SWO# 2020-564,
-84.939724217152,30.7478357563024,9,53-711,2019/04/07 00:00:00+00,2019/04/07 00:00:00+00,Y,-84.939712,30.747802,JACKSON,4,N,7,W,16,NW,SW,UNKWN,Jackson County SO,Jackson County SO,,,U,U,2,2,,,U,,U,U,U,Y,Unknown,Unknown,,,SWO# 2019-1958,
-83.0097222197668,30.3111111096984,10,37-019,2014/08/14 00:00:00+00,1970/01/01 00:00:00+00,U,-83.00971857,30.31110539,SUWANNEE,2,S,13,E,15,NW,SW,TWNRNG,,,,,E,C,38,38,10,90,Y,,U,U,U,U,Unknown,Unknown,SAND,. . . . . . .,,"ROAD 6, SHOULDER. ."
-82.1395520001935,28.0131740004246,11,10-1063,2015/11/09 00:00:00+00,2010/05/26 00:00:00+00,U,-82.13954869,28.0131688,HILLSBOROUGH,28,S,22,E,30,SE,SE,PARCEL,Hillsborough Co. F & R,Angela,Plant City,,U,U,,,,,U,,U,U,U,U,Unknown,Unknown,,"SWP100526-3252: sinkhole of unknown size reported on property; hole is described as ""very small""; no structures or roads are impacted",,
-82.1345890001021,28.0181559997841,12,10-1050,2015/11/12 00:00:00+00,2010/01/15 00:00:00+00,U,-82.13458569,28.0181508,HILLSBOROUGH,28,S,22,E,29,NW,SW,PARCEL,City of Plant City,Zack Knezevic,,,U,U,,,,,U,,U,U,U,U,Unknown,Unknown,,Reported as being a depression. No other details. Location given is appproximate.,,
-81.3650000000619,28.696388890344,13,77-008,2016/10/10 00:00:00+00,1970/01/01 00:00:00+00,U,-81.36499689,28.69638351,SEMINOLE,21,S,29,E,1,NE,NE,QTR3,,,,,U,U,,,,,U,,U,U,U,U,Unknown,Unknown,UNKNOWN,MERIDIAN NURSING CENTER. NORTHEAST CORNER OF BUILDING SETTLED. FROM DOT D-5 DB. END. . . .,"No paper record, currently located at Meridian Nursing Center as per comments, location not moved",. .
-82.558306168165,28.5044249889388,14,08-512,2015/11/10 00:00:00+00,1986/10/16 00:00:00+00,U,-82.55830272,28.50441969,HERNANDO,23,S,17,E,12,,NE,QTR3,FSRI,,SPRING HILL,33526,E,C,10,10,3,,N,,U,U,R,Y,Unknown,Unknown,UNKNOWN,"KUKLA WELL DRILLING, SPRING HILL WAS DRILLING WELL.. SINK FORMED WHEN DRILLING REACHED A DEPTH OF 80 FEET, HIT. A CAVERN.  SINK FORMED AT SURFACE AT CRACKED POOL.. ALLSTATE INSURANCE CLAIM #2623438658TMA. . . .","Bad Lat/Lon, not accurate enough. Plotting 1,100 ft. south of proper address. Moved into 10189 Sunburst Court.","10189 SUNBURST COURT. SPRING HILL, FL."
-85.2132379855665,30.8060966836337,15,53-006,2015/12/29 00:00:00+00,2003/02/18 00:00:00+00,U,-85.21323369,30.80609092,JACKSON,5,N,10,W,27,SE,NE,PARCEL,,,MARIANNA,32446,E,C,6,8,3,10,N,,N,N,U,Y,Planned,Unknown,ORANGE CLAYEY SAND,DAMAGE TO ASPHALT IN GOLF COURSE PARKING LOT. WILL BE REPAIRED. END. . . . .,,"3345 CAVERNS ROAD. MARIANNA, FL 32446."
-82.6043534721381,28.8004053732974,16,02-528,2015/07/02 00:00:00+00,1982/06/16 00:00:00+00,U,-82.60435,28.8004,CITRUS,19,S,17,E,29,NW,NE,TWNRNG,,,,,E,C,3,3,6,70,N,,U,N,R,U,Unknown,Unknown,UNKNOWN,"IN LINE WITH 500, 520, 518. NEAR HALLS RIVER. END. . . . .","Was plotting in river, moved to Halls River Road, no address provided, poor accuracy",HALL RIVER ESTATE. .
