SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015
40,3,6,1,0,Alabama,Alabama,4779736,4780127,4785161,4801108,4816089,4830533,4846411,4858979,5034,15947,14981,14444,15878,12568,14226,59689,59062,57938,58334,58305,11089,48811,48357,50843,50228,50330,3137,10878,10705,7095,8106,7975,1357,4926,4904,4834,5529,5726,537,11,-929,1838,2816,-2268,1894,4937,3975,6672,8345,3458,3,132,301,677,-573,1135,116185,116212,115560,115666,116963,119088,119599,12.45302004,12.28258088,12.0120805,12.05628554,12.01497312,10.18352396,10.0563605,10.54109926,10.38096325,10.37155642,2.269496089,2.226220384,1.470981241,1.675322292,1.643416699,1.027719961,1.019839772,1.002216113,1.14271613,1.179962887,0.002294949,-0.193195585,0.381066035,0.582001921,-0.467369163,1.03001491,0.826644188,1.383282148,1.724718052,0.712593724
50,3,6,1,1,Alabama,Autauga County,54571,54571,54660,55253,55175,55038,55290,55347,89,593,-78,-137,252,57,151,636,615,574,623,600,152,507,558,583,504,467,-1,129,57,-9,119,133,33,20,16,16,18,19,49,398,-161,-166,125,-140,82,418,-145,-150,143,-121,8,46,10,22,-10,45,455,455,455,455,455,455,455,11.57278939,11.13847937,10.4161941,11.29359727,10.84628108,9.225478333,10.1061325,10.57951421,9.1363933,8.442022108,2.347311055,1.032346869,-0.163320117,2.157203974,2.404258973,0.363924195,0.289781577,0.290346874,0.326299761,0.343465568,7.242091472,-2.91592712,-3.012348815,2.265970561,-2.530798919,7.606015667,-2.626145543,-2.722001942,2.592270321,-2.187333351
50,3,6,1,3,Alabama,Baldwin County,182265,182265,183193,186659,190396,195126,199713,203709,928,3466,3737,4730,4587,3996,517,2187,2092,2160,2186,2240,532,1825,1879,1902,2044,1992,-15,362,213,258,142,248,69,187,172,170,212,221,856,2743,3327,4211,3799,3469,925,2930,3499,4381,4011,3690,18,174,25,91,434,58,2307,2307,2307,2249,2304,2308,2309,11.82635216,11.09652438,11.20558619,11.07286768,11.10499675,9.86881239,9.966715731,9.867141175,10.35358716,9.875514969,1.957539773,1.129808649,1.338445017,0.719280517,1.229481783,1.011215297,0.912333744,0.881921136,1.07385542,1.095626912,14.83296021,17.64729284,21.8457053,19.2432865,17.1978722,15.84417551,18.55962658,22.72762644,20.31714192,18.29349912
50,3,6,1,5,Alabama,Barbour County,27457,27457,27341,27226,27159,26973,26815,26489,-116,-115,-67,-186,-158,-326,70,335,300,283,260,269,128,319,291,294,310,309,-58,16,9,-11,-50,-40,2,-4,-7,-3,-2,0,-62,-129,-68,-191,-105,-281,-60,-133,-75,-194,-107,-281,2,2,-1,19,-1,-5,3193,3193,3382,3388,3389,3353,3352,12.27848333,11.0324538,10.45592256,9.667583848,10.09305118,11.69204831,10.70148019,10.86233651,11.52673459,11.59387663,0.586435025,0.330973614,-0.406413951,-1.85915074,-1.500825454,-0.146608756,-0.257423922,-0.110840168,-0.07436603,0,-4.728132388,-2.500689528,-7.05682406,-3.904216554,-10.54329881,-4.874741144,-2.75811345,-7.167664228,-3.978582583,-10.54329881
50,3,6,1,7,Alabama,Bibb County,22915,22919,22861,22733,22642,22512,22549,22583,-58,-128,-91,-130,37,34,44,266,245,259,247,253,34,278,237,281,211,223,10,-12,8,-22,36,30,2,10,16,18,21,21,-69,-126,-115,-140,-4,4,-67,-116,-99,-122,17,25,-1,0,0,14,-16,-21,2224,2224,2224,2224,2224,2233,2236,11.66820196,10.79889807,11.47185189,10.96291694,11.21155721,12.19458701,10.44628099,12.4462949,9.365082888,9.882123549,-0.526385051,0.35261708,-0.974443017,1.597834047,1.329433661,0.438654209,0.70523416,0.79727156,0.932069861,0.930603563,-5.527043032,-5.068870523,-6.201001019,-0.177537116,0.177257822,-5.088388823,-4.363636364,-5.403729459,0.754532745,1.107861384
50,3,6,1,9,Alabama,Blount County,57322,57322,57373,57711,57776,57734,57658,57673,51,338,65,-42,-76,15,183,744,710,646,618,603,133,570,592,585,589,590,50,174,118,61,29,13,5,3,19,20,28,28,-3,104,-68,-101,-119,-79,2,107,-49,-81,-91,-51,-1,57,-4,-22,-14,53,489,489,489,489,489,489,489,12.92968614,12.29575623,11.18517877,10.71131448,10.45685895,9.905807932,10.25223618,10.12899316,10.20867998,10.23142087,3.023878211,2.04352005,1.056185612,0.502634498,0.225438087,0.052135831,0.329041364,0.346290365,0.485302274,0.485558956,1.807375482,-1.177621724,-1.748766341,-2.062534664,-1.369969913,1.859511314,-0.84858036,-1.402475976,-1.57723239,-0.884410956
50,3,6,1,11,Alabama,Bullock County,10914,10915,10887,10629,10606,10628,10829,10696,-28,-258,-23,22,201,-133,39,169,122,132,118,123,52,132,116,120,99,109,-13,37,6,12,19,14,7,21,25,28,31,32,-23,-333,-55,-12,154,-174,-16,-312,-30,16,185,-142,1,17,1,-6,-3,-5,1690,1690,1690,1777,1715,1757,1757,15.70923964,11.49046386,12.43289065,10.99874167,11.42857143,12.26993865,10.92535908,11.30262786,9.227757841,10.12775842,3.439300985,0.56510478,1.130262786,1.770983828,1.300813008,1.952035694,2.354603249,2.637279834,2.88949993,2.973286876,-30.95370887,-5.180127149,-1.130262786,14.35428998,-16.16724739,-29.00167317,-2.825523899,1.507017048,17.24378991,-13.19396051
50,3,6,1,13,Alabama,Butler County,20947,20946,20944,20673,20408,20261,20276,20154,-2,-271,-265,-147,15,-122,65,276,241,240,267,257,60,261,271,261,265,236,5,15,-30,-21,2,21,0,2,2,2,2,2,-5,-292,-240,-115,22,-132,-5,-290,-238,-113,24,-130,-2,4,3,-13,-11,-13,333,333,333,333,333,333,333,13.26381046,11.73291789,11.80260149,13.17315046,12.71333168,12.5429512,13.19344709,12.83532912,13.07447517,11.67449913,0.720859264,-1.460529198,-1.03272763,0.098675284,1.03883255,0.096114569,0.097368613,0.098355012,0.098675284,0.098936433,-14.03272701,-11.68423359,-5.655413214,1.085428127,-6.529804601,-13.93661244,-11.58686497,-5.557058202,1.184103412,-6.430868167
50,3,6,1,15,Alabama,Calhoun County,118572,118586,118437,117768,117286,116575,115993,115620,-149,-669,-482,-711,-582,-373,317,1382,1357,1309,1355,1335,312,1326,1357,1412,1407,1395,5,56,0,-103,-52,-60,6,43,61,54,64,66,-155,-727,-542,-646,-519,-391,-149,-684,-481,-592,-455,-325,-5,-41,-1,-16,-75,12,2933,2934,2882,2958,2812,2797,2804,11.7016998,11.54628298,11.19468402,11.65250593,11.52785034,11.2275354,11.54628298,12.07554915,12.09968697,12.04595597,0.474164391,0,-0.880865129,-0.44718104,-0.518105633,0.364090515,0.51902967,0.461812786,0.550376664,0.569916196,-6.155669863,-4.611706246,-5.524649257,-4.46321076,-3.376321709,-5.791579348,-4.092676576,-5.062836471,-3.912834096,-2.806405513
50,3,6,1,17,Alabama,Chambers County,34215,34170,34098,33993,34075,34153,34052,34123,-72,-105,82,78,-101,71,81,401,393,404,421,429,80,441,475,452,491,457,1,-40,-82,-48,-70,-28,7,31,29,31,34,34,-74,-93,131,98,-78,46,-67,-62,160,129,-44,80,-6,-3,4,-3,13,19,458,458,458,458,458,458,458,11.77835544,11.54727625,11.84264525,12.34513599,12.58525853,12.95325373,13.9566316,13.24969221,14.39777142,13.406674,-1.174898298,-2.409355351,-1.40704696,-2.052635437,-0.821415475,0.910546181,0.852089087,0.908717829,0.996994355,0.997433077,-2.731638543,3.849092084,2.872720877,-2.287222344,1.34946828,-1.821092362,4.701181172,3.781438706,-1.290227989,2.346901357
